,Unnamed: 0,IIiii,StationName,ItemList,IP,NNnn,EEEee,lon,lat,Height,H_Gnd,ZoomLevel,Selected,Province,City,County,Town,Village,Country,Address0,Type,Note,Address,TZAir,ShareF,Property,Index0
35,35,K8056,披山BD,PTURFV,255.0.0.0,2805,12131,121.52,28.10583,1220,1210,64,False,浙江,台州,玉环市,鸡山乡,,玉环市,玉环市披山岛(岛屿),区域站,中尺度,-         ,1.0,SHARED_VER,海岛航线,F
36,36,K8057,江岩BD,PTURF,255.0.0.0,2810,12109,121.1492,28.17333,1370,1360,32,False,浙江,台州,玉环市,玉城街道,,玉环市,玉环市玉城街道江岩村北塘岗头(岛屿),区域站,中尺度,-         ,,,,
37,37,K8060,白沙BD,PTURFV,255.0.0.0,2843,12138,121.6383,28.71305,380,370,64,False,浙江,台州,临海市,上盘镇,,临海市,临海市上盘镇白沙村(岛屿),区域站,中尺度,-         ,0.0,,,
38,38,K8061,南岙村BD,PTURF,255.0.0.0,2851,12120,121.3322,28.84805,610,600,64,False,浙江,台州,临海市,邵家渡街道,,临海市,临海市邵家渡街道南岙村(丘陵),区域站,中尺度,-         ,,,NTS,
39,39,K8062,安基山BD,PTURF,255.0.0.0,2900,12058,120.9667,29.0,8050,8040,64,False,浙江,台州,临海市,白水洋镇,,临海市,临海市白水洋镇安基山(山地),区域站,中尺度,-         ,,,"山区,YA",
40,40,K8063,北泽岛BD,PTURF,255.0.0.0,2854,12145,121.75,28.9,700,690,64,False,浙江,台州,临海市,桃渚镇,,临海市,临海市北泽岛(岛屿),区域站,中尺度,-         ,0.0,SHARED_VER,海岛,
41,41,K8064,雀儿岙BD,PTURFV,255.0.0.0,2849,12151,121.8478,28.81,710,700,64,False,浙江,台州,临海市,上盘镇,,临海市,临海市上盘镇雀儿岙(岛屿),区域站,中尺度,-         ,1.0,,海岛航线,
42,42,K8065,头门BD,PTURFV,255.0.0.0,2841,12146,121.7589,28.69028,500,490,64,False,浙江,台州,临海市,上盘镇,,临海市,临海市上盘镇头门港区(岛屿),区域站,中尺度,-         ,1.0,,海岛码头航线,
43,43,K8066,括苍山BD,TPUFR,255.0.0.0,2849,12056,120.93333,28.80972,13830,13820,64,False,浙江,台州,临海市,括苍镇,,临海市,临海市括苍山米筛廊山顶(山地),区域站,中尺度,-         ,0.0,SHARED_VER,"高山,YA",
44,44,K8070,天柱BD,PTURF,255.0.0.0,2857,12049,120.8167,28.94,9250,9240,64,False,浙江,台州,天台县,龙溪乡,,天台县,天台县龙溪乡天柱林场(山地),区域站,中尺度,-         ,,,"山区,SF",
45,45,K8071,柱峰BD,PTURF,255.0.0.0,2901,12046,120.76972,29.023067,4460,4450,64,False,浙江,台州,天台县,龙溪乡,,天台县,天台县龙溪乡柱峰(山地),区域站,中尺度,-         ,,,SF,
46,46,K8072,苍山顶BD,PTURF,255.0.0.0,2909,12109,121.1528,29.15139,9190,9180,64,False,浙江,台州,天台县,坦头镇,,天台县,天台县坦头镇苍山顶林场(山地),区域站,中尺度,-         ,0.0,SHARED_VER,"山区,SF",
47,47,K8078,岭脚村BD,PTURF,255.0.0.0,2822,12117,121.2825,28.36194,470,460,64,False,浙江,台州,温岭市,温峤镇,,温岭市,温岭市温峤镇岭脚村(丘陵),区域站,中尺度,-         ,0.0,,山区,RF
48,48,K8079,九洞门BD,PTURF,255.0.0.0,2825,12140,121.6617,28.4125,560,550,64,False,浙江,台州,温岭市,松门镇,,温岭市,温岭市松门镇横门村九洞门(海岛),区域站,中尺度,-         ,1.0,SHARED_VER,海岛航线,
49,49,K8080,三角塘BD,PTURFV,255.0.0.0,2856,12143,121.7144,28.93806,260,250,64,False,浙江,台州,三门县,浦坝港镇,,三门县,三门县浦坝港镇沿江村山娘湾(岛屿),区域站,中尺度,-         ,0.0,,,
50,50,K8083,林场BD,PTURF,255.0.0.0,2903,12125,121.4242,29.04917,6280,6270,64,False,浙江,台州,三门县,海游街道,,三门县,三门县海游街道三门林场(山地),区域站,中尺度,-         ,,,,
51,51,K8084,扩塘山BD,PTURF,255.0.0.0,2853,12140,121.6617,28.89111,440,430,64,False,浙江,台州,三门县,浦坝港镇,,三门县,三门县浦坝港镇扩塘山(岛屿),区域站,中尺度,-         ,,,航线,
52,52,K8085,三门岛BD,PTURFV,255.0.0.0,2858,12148,121.7919,28.96472,460,450,64,False,浙江,台州,三门县,浦坝港镇,,三门县,三门县浦坝港镇三门岛龙塘山(岛屿),区域站,中尺度,-         ,,,,
53,53,K8086,五子岛BD,PTURFV,255.0.0.0,2900,12146,121.7608,29.00556,410,400,64,False,浙江,台州,三门县,浦坝港镇,,三门县,三门县浦坝港镇五子岛青士豆屿(岛屿),区域站,中尺度,-         ,,,,
54,54,K8087,五峙山BD,PTURFV,255.0.0.0,2855,12143,121.7244,28.91111,150,140,32,False,浙江,台州,三门县,浦坝港镇,,三门县,三门县浦坝港镇五峙山(岛屿),区域站,中尺度,-         ,,,,
55,55,K8090,安岭BD,TURF,255.0.0.0,2834,12020,120.3333,28.56083,4890,4880,64,False,浙江,台州,仙居县,安岭乡,,仙居县,仙居县安岭乡新官村(山地),区域站,中尺度,-         ,0.0,SHARED_VER,"高山,YA",
56,56,K8091,朱溪BD,PTURF,255.0.0.0,2843,12048,120.7936,28.71806,1040,1030,64,False,浙江,台州,仙居县,朱溪镇,,仙居县,仙居县朱溪镇大洪村(丘陵),区域站,中尺度,-         ,1.0,SHARED_VER,"山区,YA",RF
57,57,K8092,朱坑里BD,PTURF,255.0.0.0,2836,12039,120.6542,28.60417,4210,4200,64,False,浙江,台州,仙居县,淡竹乡,,仙居县,仙居县淡竹乡朱坑里村(丘陵),区域站,中尺度,-         ,,,YA,R
58,58,K8093,青尖山BD,PTURF,255.0.0.0,2855,12044,120.7275,28.91639,8250,8240,64,False,浙江,台州,仙居县,福应街道,,仙居县,仙居县福应街道青尖山顶(山地),区域站,中尺度,-         ,,,YA,
59,59,K8094,公盂BD,PTURF,255.0.0.0,2838,12039,120.6425,28.63917,6510,6500,64,False,浙江,台州,仙居县,田市镇,,仙居县,仙居县田市镇公盂村(山地),区域站,中尺度,-         ,,,YA,
60,60,K8095,天顶茶场BD,TURF,255.0.0.0,2838,12048,120.8078,28.62583,8710,8700,64,False,浙江,台州,仙居县,上张乡,,仙居县,仙居县上张乡杨树坪村(山地),区域站,中尺度,-         ,,,YA,
