,StationName,county,Town,lat,lon,IIiii,tTime,dFy,fFy,T,Tx,Tn,VV,RR
80,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-22 10:00:00,344,83,94,94,89,4137,8
81,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-22 11:00:00,284,45,93,93,89,2460,4
82,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-22 11:00:00,23,84,98,98,95,5190,6
83,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-22 11:00:00,353,87,95,96,94,5813,12
84,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-22 12:00:00,295,36,96,96,92,4610,9
85,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-22 12:00:00,14,75,99,100,97,4353,11
86,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-22 12:00:00,1,96,102,102,95,5586,21
87,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-22 13:00:00,291,51,99,99,95,6471,15
88,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-22 13:00:00,26,76,102,103,99,3833,10
89,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-22 13:00:00,320,99,99,102,98,7301,29
90,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-22 14:00:00,312,50,100,101,99,7026,31
91,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-22 14:00:00,19,72,104,106,102,4536,19
92,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-22 14:00:00,346,85,105,105,99,14767,22
93,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-22 15:00:00,293,48,103,103,100,6180,15
94,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-22 15:00:00,6,84,103,105,102,5550,44
95,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-22 15:00:00,315,73,105,108,105,12241,13
96,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-31 13:00:00,67,49,84,88,81,10663,0
97,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-31 13:00:00,13,102,62,70,62,9305,0
98,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-31 13:00:00,66,89,73,76,70,12076,0
99,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-31 14:00:00,121,48,84,88,82,10153,0
100,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-31 14:00:00,8,95,65,69,63,9645,0
101,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-31 14:00:00,73,78,77,77,72,13945,0
102,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-31 15:00:00,80,39,83,86,83,10297,0
103,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-31 15:00:00,13,91,65,67,64,10916,0
