,IIiii,tTime,P02,P08,P14,P20,Pa,Px,Pn,P002,P008,P014,P020,P0a,T02,T08,T14,T20,Ta,Tx,Tn,Tw02,Tw08,Tw14,Tw20,E02,E08,E14,E20,Ea,U02,U08,U14,U20,Ua,Un,N02,N08,N14,N20,Na,Nl02,Nl08,Nl14,Nl20,Nla,C02,C08,C14,C20,V02,V08,V14,V20,R20_08,R08_20,R20_20,WW,Ls,Lb,Zd,Zp,dF02,fF02,dF08,fF08,dF14,fF14,dF20,fF20,Fa,dFx,fFx,dFy,fFy,S,D0002,D0008,D0014,D0020,D00a,D00x,D00n,D0502,D0508,D0514,D0520,D05a,D1002,D1008,D1014,D1020,D10a,D1502,D1508,D1514,D1520,D15a,D2002,D2008,D2014,D2020,D20a,Tn_Tmr,R08_Tmr
20,58661,2022-02-10,10225,10244,10221,10239,10232,10254,10218,10230,10249,10226,10244,10237,70,72,94,73,77,96,68,-9999,-9999,-9999,-9999,87,83,78,76,81,87,82,66,74,77,62,0,0,0,0,0,0,0,0,0,0,,,,,308,256,331,113,1,-1,1,,-9999,-9999,-1,-1,N,17,NNE,28,NE,30,NNE,43,30,NE,60,ENE,84,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
21,58455,2022-02-10,10247,10263,10242,10241,10248,10266,10235,10255,10271,10250,10249,10256,39,42,57,32,42,59,32,-9999,-9999,-9999,-9999,81,82,81,75,80,100,100,89,97,96,82,0,0,0,0,0,0,0,0,0,0,,,,,16,14,41,15,2,0,2,"(60,10,50,42;662,)10,50 1159   1205'1221'1506   1527,.",5,5,-1,-1,WNW,13,NW,12,NNE,20,C,2,12,NE,25,NE,37,0,45,53,86,37,55,-9999,-9999,52,52,74,60,60,56,55,68,66,61,61,59,65,68,63,64,62,65,69,65,-9999,-9999
22,58464,2022-02-10,10243,10262,10237,10242,10246,10264,10234,10250,10269,10244,10249,10253,45,45,79,50,55,85,41,-9999,-9999,-9999,-9999,80,78,66,78,76,95,93,62,90,85,57,0,0,0,0,0,0,0,0,0,0,,,,,25,25,172,44,3,-1,3,"(60,10,50,01,02,)10,.",8,8,-1,-1,NNW,19,N,15,NW,28,E,13,19,NNW,42,NNW,59,34,49,53,129,60,73,-9999,-9999,57,54,118,72,75,60,56,99,77,73,64,61,81,82,72,68,65,74,82,72,-9999,-9999
23,58631,2022-02-10,10081,10089,10054,10048,10068,10092,10037,10253,10261,10224,10218,10239,44,45,94,69,63,97,41,-9999,-9999,-9999,-9999,83,83,86,81,83,99,98,73,81,88,68,0,0,0,0,0,0,0,0,0,0,,,,,95,45,155,159,1,0,1,"(50,10,)10,60 1812   1837'1902   1918'1935 2000,.",0,0,-1,-1,WSW,15,WSW,4,ESE,27,E,49,24,E,68,E,103,0,55,59,154,71,85,-9999,-9999,61,59,121,82,81,67,63,98,89,79,71,68,87,92,80,74,72,82,91,80,-9999,-9999
24,58644,2022-02-10,9954,9965,9927,9924,9942,9968,9919,10247,10259,10219,10216,10235,50,54,92,76,68,101,49,-9999,-9999,-9999,-9999,85,88,84,90,87,98,98,72,86,88,68,0,0,0,0,0,0,0,0,0,0,,,,,176,144,200,200,0,0,0,"(50,10,)60 1820   1844'1909,.",12,12,-1,-1,C,0,C,0,SSE,19,NNE,23,10,SSW,31,SSW,45,0,55,72,148,78,88,-9999,-9999,65,68,128,88,87,73,71,110,96,88,78,75,99,98,88,84,81,91,98,88,-9999,-9999
25,58645,2022-02-10,10056,10070,10033,10031,10048,10075,10025,10246,10261,10222,10220,10237,58,55,102,86,75,108,53,-9999,-9999,-9999,-9999,81,86,87,88,86,88,95,70,79,83,66,0,0,0,0,0,0,0,0,0,0,,,,,281,49,300,300,1,0,1,"(50,10,)50 0800   0908'0945 0952'1009   1020'1943 1945,10,60 1927 1942,.",6,6,-1,-1,WSW,15,C,1,SSW,8,SE,27,13,ESE,35,ESE,52,0,59,68,169,86,96,-9999,-9999,67,68,143,97,94,74,72,122,104,93,82,79,104,108,93,89,85,97,107,94,-9999,-9999
26,58667,2022-02-10,10109,10128,10102,10121,10115,10137,10096,10229,10248,10222,10241,10235,66,71,89,73,75,91,64,-9999,-9999,-9999,-9999,93,87,83,81,86,95,86,73,79,83,72,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,228,269,300,142,0,-1,0,"(60,10,50,68,)60 1951   2000,.",17,17,-1,-1,NNW,40,NE,36,ENE,83,NE,71,58,NE,115,NE,140,42,64,77,159,65,91,186,63,73,74,125,84,89,79,78,105,93,89,84,82,95,97,90,88,87,91,97,91,52,70
27,58668,2022-02-10,10080,10099,10078,10092,10087,10111,10073,10231,10250,10229,10243,10238,63,68,83,73,72,86,61,-9999,-9999,-9999,-9999,94,86,82,81,86,99,87,75,79,85,72,0,0,0,0,0,0,0,0,0,0,,,,,14,373,500,208,3,-1,3,,-9999,-9999,-1,-1,NE,82,ENE,70,E,91,E,83,82,E,108,ESE,153,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
28,58548,2022-02-10,10188,10202,10166,10165,10180,10206,10157,10252,10266,10230,10229,10244,48,48,87,73,64,92,46,-9999,-9999,-9999,-9999,77,81,75,75,77,90,94,67,73,81,64,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,158,103,200,200,-1,-1,-1,"60 1924,.",6,6,-1,-1,N,12,NE,3,NE,31,NNE,22,17,NE,44,NNE,68,0,46,54,130,62,73,162,43,51,52,120,71,74,57,56,95,79,72,63,61,79,82,71,67,66,72,81,72,49,75
29,58556,2022-02-10,10119,10137,10109,10115,10120,10142,10106,10262,10281,10252,10258,10263,44,40,72,54,52,79,39,-9999,-9999,-9999,-9999,84,81,68,79,78,100,100,67,88,89,63,0,0,0,0,0,0,0,0,0,0,,,,,47,33,200,74,6,0,6,"(50,10,42;230,60,)10,50 1024   1036'1102,60 1029 1035,.",6,6,-1,-1,N,12,NNE,22,NNE,38,NE,16,22,NNE,39,NNE,73,0,50,51,122,54,69,-9999,-9999,59,54,110,68,73,64,59,92,77,73,69,65,80,80,74,72,70,74,80,74,-9999,-9999
