,StationName,county,Town,lat,lon,IIiii,tTime,dFy,fFy,T,Tx,Tn,VV,RR
77,仙居,仙居县,安洲街道,28.86722,120.71889,58652,2022-02-02 01:00:00,304,10,37,37,37,2796,1
78,括苍山,临海市,括苍镇,28.80972,120.9222,58653,2022-02-02 01:00:00,112,114,-26,-26,-29,-9999,0
79,黄岩站,黄岩区,北洋镇,28.61806,121.09472,58655,2022-02-02 01:00:00,186,11,39,39,39,2227,5
80,临海,临海市,大洋街道,28.87389,121.19278,58660,2022-02-02 01:00:00,258,20,42,43,42,1589,3
81,椒江口,椒江区,海门街道,28.6625,121.5108,58661,2022-02-02 01:00:00,335,60,48,50,47,6399,1
82,牛山,三门县,浦坝港镇,29.0131,121.7056,58662,2022-02-02 01:00:00,322,106,39,45,39,2899,5
83,东矶,临海市,上盘镇,28.71889,121.9156,58663,2022-02-02 01:00:00,343,135,51,58,51,2982,1
84,温岭,温岭市,太平街道,28.37278,121.35889,58664,2022-02-02 01:00:00,354,51,42,42,41,3102,1
85,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-02-02 01:00:00,301,51,43,43,43,2629,1
86,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-02-02 01:00:00,359,118,56,58,56,4450,1
87,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-02-02 01:00:00,325,110,45,45,43,6601,0
88,披山,玉环市,鸡山乡,28.09583,121.52,58668,2022-02-02 01:00:00,52,151,44,45,43,3473,0
89,石塘,温岭市,石塘镇,28.260317,121.616252,58669,2022-02-02 01:00:00,48,96,40,40,39,3024,0
90,天台,天台县,始丰街道,29.15278,120.97056,58559,2022-02-02 02:00:00,296,24,28,28,27,1044,0
91,三门,三门县,海游街道,29.12278,121.38333,58568,2022-02-02 02:00:00,25,10,38,38,37,4061,0
92,仙居,仙居县,安洲街道,28.86722,120.71889,58652,2022-02-02 02:00:00,334,13,38,38,37,2587,1
93,括苍山,临海市,括苍镇,28.80972,120.9222,58653,2022-02-02 02:00:00,120,99,-27,-25,-28,-9999,0
94,黄岩站,黄岩区,北洋镇,28.61806,121.09472,58655,2022-02-02 02:00:00,273,21,40,40,39,1585,0
95,临海,临海市,大洋街道,28.87389,121.19278,58660,2022-02-02 02:00:00,272,15,43,43,42,2200,0
96,椒江口,椒江区,海门街道,28.6625,121.5108,58661,2022-02-02 02:00:00,344,50,50,51,48,8018,0
97,牛山,三门县,浦坝港镇,29.0131,121.7056,58662,2022-02-02 02:00:00,338,118,45,45,39,4322,1
98,东矶,临海市,上盘镇,28.71889,121.9156,58663,2022-02-02 02:00:00,347,133,52,54,51,4508,0
99,温岭,温岭市,太平街道,28.37278,121.35889,58664,2022-02-02 02:00:00,284,44,45,45,42,4827,0
100,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-02-02 02:00:00,289,42,46,46,43,4328,0
101,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-02-02 02:00:00,15,145,59,60,55,5723,0
102,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-02-02 02:00:00,332,96,48,48,45,8671,0
103,披山,玉环市,鸡山乡,28.09583,121.52,58668,2022-02-02 02:00:00,44,152,44,45,43,3079,0
104,石塘,温岭市,石塘镇,28.260317,121.616252,58669,2022-02-02 02:00:00,62,106,41,41,40,4004,0
105,天台,天台县,始丰街道,29.15278,120.97056,58559,2022-02-02 03:00:00,265,32,28,29,28,1212,0
106,三门,三门县,海游街道,29.12278,121.38333,58568,2022-02-02 03:00:00,338,28,40,40,38,8792,1
107,仙居,仙居县,安洲街道,28.86722,120.71889,58652,2022-02-02 03:00:00,24,9,38,39,38,3278,0
108,括苍山,临海市,括苍镇,28.80972,120.9222,58653,2022-02-02 03:00:00,110,82,-27,-27,-29,-9999,0
109,黄岩站,黄岩区,北洋镇,28.61806,121.09472,58655,2022-02-02 03:00:00,267,22,42,42,40,9376,0
110,临海,临海市,大洋街道,28.87389,121.19278,58660,2022-02-02 03:00:00,273,20,45,46,43,4877,1
111,椒江口,椒江区,海门街道,28.6625,121.5108,58661,2022-02-02 03:00:00,334,52,52,52,50,10039,0
112,牛山,三门县,浦坝港镇,29.0131,121.7056,58662,2022-02-02 03:00:00,345,137,43,45,43,5260,0
113,东矶,临海市,上盘镇,28.71889,121.9156,58663,2022-02-02 03:00:00,346,139,55,57,52,6599,0
114,温岭,温岭市,太平街道,28.37278,121.35889,58664,2022-02-02 03:00:00,325,53,48,48,45,6827,0
115,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-02-02 03:00:00,298,45,49,49,46,5309,0
116,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-02-02 03:00:00,3,142,60,62,59,7825,0
117,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-02-02 03:00:00,342,111,51,51,48,10645,0
118,披山,玉环市,鸡山乡,28.09583,121.52,58668,2022-02-02 03:00:00,57,147,45,45,44,4039,0
119,石塘,温岭市,石塘镇,28.260317,121.616252,58669,2022-02-02 03:00:00,49,104,44,44,41,5461,0
120,天台,天台县,始丰街道,29.15278,120.97056,58559,2022-02-02 04:00:00,260,32,29,29,28,2105,3
121,三门,三门县,海游街道,29.12278,121.38333,58568,2022-02-02 04:00:00,135,14,39,40,39,7382,1
122,仙居,仙居县,安洲街道,28.86722,120.71889,58652,2022-02-02 04:00:00,310,14,39,39,38,2503,5
123,括苍山,临海市,括苍镇,28.80972,120.9222,58653,2022-02-02 04:00:00,101,81,-33,-24,-33,-9999,0
124,黄岩站,黄岩区,北洋镇,28.61806,121.09472,58655,2022-02-02 04:00:00,230,21,44,44,41,8320,1
125,临海,临海市,大洋街道,28.87389,121.19278,58660,2022-02-02 04:00:00,45,18,45,45,45,4431,2
126,椒江口,椒江区,海门街道,28.6625,121.5108,58661,2022-02-02 04:00:00,351,52,54,54,52,11202,0
127,牛山,三门县,浦坝港镇,29.0131,121.7056,58662,2022-02-02 04:00:00,329,122,44,44,41,7138,2
128,东矶,临海市,上盘镇,28.71889,121.9156,58663,2022-02-02 04:00:00,340,140,57,57,54,6672,0
129,温岭,温岭市,太平街道,28.37278,121.35889,58664,2022-02-02 04:00:00,348,36,47,48,47,2787,0
130,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-02-02 04:00:00,293,41,49,50,49,5639,0
131,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-02-02 04:00:00,6,141,56,61,56,3313,1
132,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-02-02 04:00:00,337,104,50,51,50,11018,0
133,披山,玉环市,鸡山乡,28.09583,121.52,58668,2022-02-02 04:00:00,43,169,45,46,45,3009,0
134,石塘,温岭市,石塘镇,28.260317,121.616252,58669,2022-02-02 04:00:00,37,117,46,46,44,6335,0
135,天台,天台县,始丰街道,29.15278,120.97056,58559,2022-02-02 05:00:00,251,26,29,30,29,3136,1
136,三门,三门县,海游街道,29.12278,121.38333,58568,2022-02-02 05:00:00,150,20,39,39,38,10361,2
137,仙居,仙居县,安洲街道,28.86722,120.71889,58652,2022-02-02 05:00:00,287,16,39,39,38,3081,0
138,括苍山,临海市,括苍镇,28.80972,120.9222,58653,2022-02-02 05:00:00,123,89,-30,-30,-33,-9999,0
139,黄岩站,黄岩区,北洋镇,28.61806,121.09472,58655,2022-02-02 05:00:00,1,32,43,44,43,7345,0
140,临海,临海市,大洋街道,28.87389,121.19278,58660,2022-02-02 05:00:00,4,31,46,46,45,6542,1
141,椒江口,椒江区,海门街道,28.6625,121.5108,58661,2022-02-02 05:00:00,343,47,54,54,52,14333,0
