,Cnty,Province,Town,Station_levl,Station_Name,City,Station_Id_C,Lat,Lon,Alti,PRE
100,灵璧县,安徽省,,14,灵璧朱集,宿州市,I1660,33.8264,117.4739,999999.0,0.0
101,泾县,安徽省,,14,泾县云岭陈塘,宣城市,I7924,30.6469,118.1506,359.0,0.2
102,磐安县,浙江省,窈川乡,14,窈川川一,金华市,K6396,29.1022,120.5439,255.0,0.0
103,金东区,浙江省,曹宅镇,14,曹宅铁堰,金华市,K6328,29.2253,119.7597,149.8,4.3
104,新昌县,浙江省,东茗乡,14,东茗小学,绍兴市,K4892,29.4272,120.8322,161.0,0.0
105,新昌县,浙江省,城南乡,14,韩妃,绍兴市,K4913,29.3517,120.8631,141.0,0.0
106,新昌县,浙江省,儒岙镇,14,横山,绍兴市,K4858,29.3525,120.9031,392.0,0.0
107,萧山区,浙江省,闻堰街道,14,闻兴村,杭州市,K1222,30.1308,120.1728,11.0,0.0
108,上杭县,福建省,,14,上杭古田,龙岩市,F7414,25.2333,116.8283,999999.0,0.0
109,固始县,河南省,,14,石佛店,信阳市,O8425,32.0794,115.7975,57.6,0.0
110,浠水县,湖北省,,14,浠水高家坳,黄冈市,Q9417,30.6986,115.2658,999999.0,0.0
111,虹口区,上海市,,14,虹口嘉兴路和平公园,上海市,A4011,31.2725,121.4969,999999.0,0.4
112,颍州区,安徽省,,14,颍州王店,阜阳市,I2254,32.8011,115.7669,27.4,0.0
113,浠水县,湖北省,,14,大广北k2454+858,黄冈市,Q0152,30.3661,115.1522,999999.0,0.0
114,江阴市,江苏省,,14,璜土镇,无锡市,M5908,31.8494,120.0394,999999.0,0.0
115,固始县,河南省,,14,番城,信阳市,O8436,32.2272,115.6808,999999.0,0.0
116,鹿邑县,河南省,,14,张店,周口市,O6803,33.798,115.2616,999999.0,0.0
117,安溪县,福建省,,14,红星村,泉州市,F5495,25.28,117.9022,668.0,0.0
118,武宁县,江西省,,14,武宁宋溪,九江市,J1055,29.3,115.1,999999.0,0.0
119,德兴市,江西省,,14,花桥镇,上饶市,J2059,28.9333,117.7322,999999.0,5.7
120,德兴市,江西省,,14,金山金矿,上饶市,J2307,28.9753,117.7111,999999.0,1.3
121,安远县,江西省,,14,安远重石,赣州市,J9156,25.3861,115.4183,999999.0,0.0
122,鹿邑县,河南省,,14,王皮溜,周口市,O6823,33.7472,115.4925,999999.0,0.0
123,固始县,河南省,,14,杨山,信阳市,O8429,31.8531,115.6322,999999.0,0.0
124,崇明区,上海市,,14,崇明长兴郊野公园,上海市,A5352,31.4025,121.7092,14.2,0.0
125,鹿邑县,河南省,,14,邱集,周口市,O6831,33.8958,115.2783,999999.0,0.0
126,建湖县,江苏省,,14,建湖冈西镇,盐城市,M5398,33.5575,119.9278,999999.0,0.0
127,灵璧县,安徽省,,14,灵璧虞姬,宿州市,I1665,33.5322,117.6286,999999.0,0.0
128,北厝镇,福建省,,14,平潭垒球场,平潭综合实验区,F1812,25.5431,119.7508,32.7,0.0
129,政和县,福建省,,14,岭腰乡,南平市,F9602,27.4775,118.9944,999999.0,0.0
130,淳安县,浙江省,文昌镇,14,浪洞村,杭州市,KA194,29.7397,119.2547,202.1,0.0
131,淳安县,浙江省,姜家镇,14,龙川村,杭州市,K1364,29.4633,118.6769,124.0,0.3
132,淳安县,浙江省,枫树岭镇,14,铜山村,杭州市,K1352,29.3183,118.6478,311.0,16.1
133,龙游县,浙江省,大街乡,14,大头岭,衢州市,K7352,28.8022,119.2692,854.0,3.0
134,武夷山市,福建省,,12,武夷山,南平市,58730,27.7558,118.0233,223.1,0.0
135,政和县,福建省,,14,镇前镇,南平市,F9609,27.2436,119.09,999999.0,0.0
136,武夷山市,福建省,,14,武夷山坑口村,南平市,F9256,27.9375,118.0342,539.0,0.0
137,沭阳县,江苏省,,14,沭阳吴集,宿迁市,M6232,34.1994,119.0358,999999.0,0.0
